Offence_Month,Rego_State,Sum_Pen_Amt,Sum_Inf_Count
Aug 2024,NSW,1753012.0,2663
Aug 2024,NT,3106.0,5
Aug 2024,QLD,116388.0,176
Aug 2024,SA,44586.0,58
Aug 2024,TAS,4269.0,10
Aug 2024,VIC,215894.0,309
Aug 2024,WA,14929.0,27
Dec 2010,ACT,629771.0,3312
Dec 2010,NSW,392731.0,2035
Dec 2010,NT,942.0,8
Dec 2010,QLD,32644.0,155
Dec 2010,SA,7579.0,35
Dec 2010,TAS,901.0,5
Dec 2010,VIC,76350.0,353
Dec 2010,WA,4821.0,32
Dec 2011,ACT,563373.0,2959
Dec 2011,NSW,312157.0,1588
Dec 2011,NT,1669.0,3
Dec 2011,QLD,22488.0,133
Dec 2011,SA,4678.0,24
Dec 2011,TAS,1134.0,7
Dec 2011,VIC,57479.0,262
Dec 2011,WA,4492.0,24
Dec 2012,ACT,733239.0,3466
Dec 2012,NSW,386500.0,1890
Dec 2012,NT,334.0,2
Dec 2012,QLD,31248.0,141
Dec 2012,SA,4850.0,21
Dec 2012,TAS,1126.0,6
Dec 2012,VIC,56303.0,279
Dec 2012,WA,3326.0,16
Dec 2013,ACT,688853.0,2908
Dec 2013,NSW,399433.0,1679
Dec 2013,NT,746.0,3
Dec 2013,QLD,31309.0,138
Dec 2013,SA,3966.0,18
Dec 2013,TAS,3324.0,14
Dec 2013,VIC,66055.0,258
Dec 2013,WA,1761.0,8
Dec 2014,ACT,710740.0,2698
Dec 2014,NSW,344206.0,1390
Dec 2014,NT,1290.0,7
Dec 2014,QLD,32697.0,123
Dec 2014,SA,5560.0,24
Dec 2014,TAS,1005.0,4
Dec 2014,VIC,66715.0,206
Dec 2014,WA,3550.0,16
Dec 2015,ACT,862058.0,3113
Dec 2015,NSW,472210.0,1703
Dec 2015,NT,1728.0,4
Dec 2015,QLD,39422.0,139
Dec 2015,SA,6122.0,21
Dec 2015,TAS,2476.0,10
Dec 2015,VIC,71324.0,253
Dec 2015,WA,3846.0,16
Dec 2016,ACT,1256233.0,3334
Dec 2016,NSW,781950.0,1862
Dec 2016,NT,2941.0,6
Dec 2016,QLD,84042.0,156
Dec 2016,SA,7736.0,20
Dec 2016,TAS,3151.0,12
Dec 2016,VIC,120808.0,258
Dec 2016,WA,10183.0,31
Dec 2017,ACT,1195783.0,2867
Dec 2017,NSW,695272.0,1474
Dec 2017,NT,1547.0,5
Dec 2017,QLD,56550.0,111
Dec 2017,SA,8345.0,17
Dec 2017,TAS,3627.0,13
Dec 2017,VIC,121075.0,220
Dec 2017,WA,8636.0,23
Dec 2018,ACT,910028.0,2086
Dec 2018,NSW,570710.0,1116
Dec 2018,NT,292.0,1
Dec 2018,QLD,93573.0,103
Dec 2018,SA,6491.0,15
Dec 2018,TAS,5572.0,9
Dec 2018,VIC,94012.0,146
Dec 2018,WA,4631.0,15
Dec 2019,ACT,1612191.0,3501
Dec 2019,NSW,929324.0,1731
Dec 2019,NT,594.0,2
Dec 2019,QLD,71806.0,118
Dec 2019,SA,9327.0,20
Dec 2019,TAS,1509.0,5
Dec 2019,VIC,158340.0,257
Dec 2019,WA,3348.0,8
Dec 2020,ACT,1524873.0,3252
Dec 2020,NSW,692327.0,1365
Dec 2020,NT,915.0,3
Dec 2020,QLD,54070.0,102
Dec 2020,SA,11320.0,23
Dec 2020,TAS,1861.0,5
Dec 2020,VIC,128548.0,186
Dec 2020,WA,3933.0,13
Dec 2021,ACT,3504578.0,8454
Dec 2021,NSW,2895735.0,5898
Dec 2021,NT,4648.0,13
Dec 2021,QLD,172066.0,350
Dec 2021,SA,26578.0,65
Dec 2021,TAS,6557.0,17
Dec 2021,VIC,554151.0,1090
Dec 2021,WA,18645.0,43
Dec 2022,ACT,2171857.0,4651
Dec 2022,NSW,1620025.0,3072
Dec 2022,NT,4595.0,10
Dec 2022,QLD,164939.0,309
Dec 2022,SA,31586.0,56
Dec 2022,TAS,4390.0,11
Dec 2022,VIC,339540.0,592
Dec 2022,WA,15284.0,33
Dec 2023,ACT,1818506.0,3947
Dec 2023,NSW,1099339.0,2244
Dec 2023,NT,4030.0,8
Dec 2023,QLD,117280.0,244
Dec 2023,SA,27206.0,44
Dec 2023,TAS,3072.0,9
Dec 2023,VIC,219157.0,406
Dec 2023,WA,7420.0,23
Feb 2011,ACT,519732.0,2684
Feb 2011,NSW,296565.0,1515
Feb 2011,NT,314.0,2
Feb 2011,QLD,28739.0,137
Feb 2011,SA,5159.0,31
Feb 2011,TAS,1570.0,10
Feb 2011,VIC,46046.0,216
Feb 2011,WA,4763.0,28
Feb 2012,ACT,379613.0,1976
Feb 2012,NSW,210438.0,1131
Feb 2012,NT,1418.0,5
Feb 2012,QLD,15657.0,84
Feb 2012,SA,2774.0,16
Feb 2012,TAS,486.0,3
Feb 2012,VIC,81443.0,195
Feb 2012,WA,5140.0,28
Feb 2013,ACT,501965.0,2502
Feb 2013,NSW,313386.0,1479
Feb 2013,NT,1460.0,8
Feb 2013,QLD,23935.0,120
Feb 2013,SA,2933.0,17
Feb 2013,TAS,1665.0,7
Feb 2013,VIC,40675.0,217
Feb 2013,WA,5601.0,17
Feb 2014,ACT,511610.0,2136
Feb 2014,NSW,321910.0,1345
Feb 2014,NT,2602.0,6
Feb 2014,QLD,25846.0,107
Feb 2014,SA,6195.0,22
Feb 2014,TAS,1015.0,5
Feb 2014,VIC,43319.0,171
Feb 2014,WA,4061.0,12
Feb 2015,ACT,617281.0,2432
Feb 2015,NSW,361216.0,1397
Feb 2015,NT,1505.0,7
Feb 2015,QLD,22065.0,93
Feb 2015,SA,4520.0,20
Feb 2015,TAS,1655.0,6
Feb 2015,VIC,53495.0,208
Feb 2015,WA,4760.0,17
Feb 2016,ACT,700725.0,2546
Feb 2016,NSW,388757.0,1384
Feb 2016,NT,944.0,4
Feb 2016,QLD,44046.0,160
Feb 2016,SA,8176.0,29
Feb 2016,TAS,2393.0,9
Feb 2016,VIC,52919.0,205
Feb 2016,WA,7026.0,27
Feb 2017,ACT,1016154.0,2616
Feb 2017,NSW,644292.0,1409
Feb 2017,NT,1722.0,4
Feb 2017,QLD,65931.0,119
Feb 2017,SA,8687.0,17
Feb 2017,TAS,2369.0,7
Feb 2017,VIC,95484.0,194
Feb 2017,WA,13015.0,34
Feb 2018,ACT,1694432.0,3910
Feb 2018,NSW,928730.0,1929
Feb 2018,NT,3396.0,8
Feb 2018,QLD,100082.0,187
Feb 2018,SA,16070.0,24
Feb 2018,TAS,3779.0,13
Feb 2018,VIC,170510.0,304
Feb 2018,WA,11240.0,30
Feb 2019,ACT,1150588.0,2625
Feb 2019,NSW,757878.0,1427
Feb 2019,NT,1512.0,2
Feb 2019,QLD,64270.0,103
Feb 2019,SA,11490.0,25
Feb 2019,TAS,1483.0,5
Feb 2019,VIC,110568.0,170
Feb 2019,WA,4030.0,10
Feb 2020,ACT,1268572.0,2827
Feb 2020,NSW,838887.0,1599
Feb 2020,NT,774.0,4
Feb 2020,QLD,71966.0,132
Feb 2020,SA,8423.0,20
Feb 2020,TAS,3643.0,11
Feb 2020,VIC,123351.0,214
Feb 2020,WA,5562.0,15
Feb 2021,ACT,1437949.0,3371
Feb 2021,NSW,723952.0,1542
Feb 2021,NT,1806.0,6
Feb 2021,QLD,48740.0,101
Feb 2021,SA,8457.0,24
Feb 2021,TAS,3990.0,10
Feb 2021,VIC,157265.0,203
Feb 2021,WA,7452.0,15
Feb 2022,ACT,2483808.0,5761
Feb 2022,NSW,2485468.0,4735
Feb 2022,NT,4766.0,12
Feb 2022,QLD,244396.0,538
Feb 2022,SA,45687.0,98
Feb 2022,TAS,15122.0,37
Feb 2022,VIC,505382.0,965
Feb 2022,WA,19650.0,57
Feb 2023,ACT,1728427.0,3697
Feb 2023,NSW,1345363.0,2498
Feb 2023,NT,2216.0,5
Feb 2023,QLD,119716.0,214
Feb 2023,SA,33598.0,58
Feb 2023,TAS,10267.0,20
Feb 2023,VIC,201208.0,372
Feb 2023,WA,17471.0,39
Feb 2024,ACT,2658261.0,5071
Feb 2024,NSW,1338446.0,2548
Feb 2024,NT,2410.0,7
Feb 2024,QLD,132842.0,227
Feb 2024,SA,27719.0,48
Feb 2024,TAS,6208.0,13
Feb 2024,VIC,228144.0,371
Feb 2024,WA,10266.0,31
Jan 2011,ACT,533390.0,2838
Jan 2011,NSW,343121.0,1785
Jan 2011,NT,1803.0,7
Jan 2011,QLD,31187.0,169
Jan 2011,SA,5110.0,26
Jan 2011,TAS,1331.0,7
Jan 2011,VIC,61419.0,330
Jan 2011,WA,6120.0,37
Jan 2012,ACT,438011.0,2361
Jan 2012,NSW,289402.0,1459
Jan 2012,NT,1580.0,6
Jan 2012,QLD,22325.0,120
Jan 2012,SA,5355.0,28
Jan 2012,TAS,1094.0,3
Jan 2012,VIC,60185.0,333
Jan 2012,WA,2770.0,14
Jan 2013,ACT,581824.0,2919
Jan 2013,NSW,345097.0,1736
Jan 2013,NT,668.0,4
Jan 2013,QLD,32924.0,166
Jan 2013,SA,5185.0,29
Jan 2013,TAS,1711.0,5
Jan 2013,VIC,63446.0,319
Jan 2013,WA,4059.0,24
Jan 2014,ACT,617766.0,2385
Jan 2014,NSW,332598.0,1440
Jan 2014,NT,1119.0,5
Jan 2014,QLD,30799.0,124
Jan 2014,SA,6216.0,25
Jan 2014,TAS,1119.0,6
Jan 2014,VIC,64367.0,274
Jan 2014,WA,4537.0,21
Jan 2015,ACT,583417.0,2329
Jan 2015,NSW,342785.0,1390
Jan 2015,NT,1220.0,5
Jan 2015,QLD,26465.0,109
Jan 2015,SA,4650.0,18
Jan 2015,TAS,1760.0,7
Jan 2015,VIC,59305.0,253
Jan 2015,WA,2580.0,12
Jan 2016,ACT,700749.0,2385
Jan 2016,NSW,395573.0,1430
Jan 2016,NT,861.0,3
Jan 2016,QLD,28500.0,105
Jan 2016,SA,5933.0,25
Jan 2016,TAS,236.0,1
Jan 2016,VIC,61994.0,237
Jan 2016,WA,5105.0,20
Jan 2017,ACT,974708.0,2514
Jan 2017,NSW,624698.0,1469
Jan 2017,NT,1979.0,4
Jan 2017,QLD,65627.0,123
Jan 2017,SA,9279.0,21
Jan 2017,TAS,1609.0,5
Jan 2017,VIC,157621.0,277
Jan 2017,WA,7204.0,20
Jan 2018,ACT,973009.0,2356
Jan 2018,NSW,625829.0,1397
Jan 2018,NT,6828.0,8
Jan 2018,QLD,51299.0,110
Jan 2018,SA,5749.0,16
Jan 2018,TAS,3731.0,9
Jan 2018,VIC,112295.0,216
Jan 2018,WA,9140.0,22
Jan 2019,ACT,1029534.0,2492
Jan 2019,NSW,691344.0,1429
Jan 2019,NT,1220.0,1
Jan 2019,QLD,59173.0,122
Jan 2019,SA,11095.0,23
Jan 2019,TAS,1168.0,4
Jan 2019,VIC,135245.0,230
Jan 2019,WA,7586.0,19
Jan 2020,ACT,905750.0,2075
Jan 2020,NSW,590144.0,1235
Jan 2020,NT,1923.0,6
Jan 2020,QLD,41246.0,74
Jan 2020,SA,9249.0,18
Jan 2020,TAS,2814.0,9
Jan 2020,VIC,105620.0,212
Jan 2020,WA,5731.0,15
Jan 2021,ACT,1363827.0,2839
Jan 2021,NSW,641032.0,1293
Jan 2021,NT,4116.0,7
Jan 2021,QLD,50111.0,94
Jan 2021,SA,7440.0,15
Jan 2021,TAS,1188.0,4
Jan 2021,VIC,74033.0,124
Jan 2021,WA,1375.0,4
Jan 2022,ACT,2640604.0,6370
Jan 2022,NSW,2829826.0,5786
Jan 2022,NT,6984.0,21
Jan 2022,QLD,194401.0,386
Jan 2022,SA,45510.0,100
Jan 2022,TAS,7367.0,24
Jan 2022,VIC,643621.0,1281
Jan 2022,WA,18325.0,54
Jan 2023,ACT,1795412.0,3784
Jan 2023,NSW,1455404.0,2881
Jan 2023,NT,10466.0,20
Jan 2023,QLD,127945.0,260
Jan 2023,SA,47263.0,85
Jan 2023,TAS,9053.0,25
Jan 2023,VIC,396214.0,725
Jan 2023,WA,9971.0,33
Jan 2024,ACT,1537290.0,3277
Jan 2024,NSW,1252011.0,2325
Jan 2024,NT,6548.0,11
Jan 2024,QLD,139005.0,265
Jan 2024,SA,43426.0,64
Jan 2024,TAS,7496.0,20
Jan 2024,VIC,277245.0,543
Jan 2024,WA,23630.0,37
Jul 2010,ACT,567826.0,2988
Jul 2010,ARM,157.0,1
Jul 2010,FED,157.0,1
Jul 2010,NSW,367060.0,1909
Jul 2010,NT,1099.0,7
Jul 2010,QLD,25189.0,120
Jul 2010,SA,6497.0,33
Jul 2010,TAS,1058.0,6
Jul 2010,VIC,53817.0,277
Jul 2010,WA,4827.0,27
Jul 2011,ACT,577265.0,2965
Jul 2011,NSW,416508.0,2060
Jul 2011,QLD,24854.0,138
Jul 2011,SA,6629.0,34
Jul 2011,TAS,1254.0,7
Jul 2011,VIC,58925.0,287
Jul 2011,WA,6578.0,28
Jul 2012,ACT,623197.0,3066
Jul 2012,NSW,385365.0,1903
Jul 2012,NT,1002.0,6
Jul 2012,QLD,23266.0,122
Jul 2012,SA,3682.0,21
Jul 2012,TAS,1430.0,8
Jul 2012,VIC,55576.0,256
Jul 2012,WA,3682.0,20
Jul 2013,ACT,626911.0,2676
Jul 2013,NSW,420868.0,1756
Jul 2013,NT,609.0,3
Jul 2013,QLD,31698.0,124
Jul 2013,SA,4773.0,23
Jul 2013,TAS,1596.0,6
Jul 2013,VIC,59716.0,258
Jul 2013,WA,4240.0,18
Jul 2014,ACT,545674.0,2378
Jul 2014,NSW,351763.0,1500
Jul 2014,NT,3084.0,9
Jul 2014,QLD,22960.0,102
Jul 2014,SA,5602.0,19
Jul 2014,TAS,1624.0,8
Jul 2014,VIC,54886.0,208
Jul 2014,WA,2979.0,14
Jul 2015,ACT,708281.0,2616
Jul 2015,NSW,468858.0,1835
Jul 2015,NT,215.0,1
Jul 2015,QLD,28150.0,121
Jul 2015,SA,7215.0,31
Jul 2015,TAS,2225.0,9
Jul 2015,VIC,53313.0,209
Jul 2015,WA,3910.0,18
Jul 2016,ACT,829635.0,2854
Jul 2016,NSW,553519.0,1898
Jul 2016,NT,1590.0,7
Jul 2016,QLD,33891.0,120
Jul 2016,SA,9011.0,29
Jul 2016,TAS,986.0,4
Jul 2016,VIC,65188.0,223
Jul 2016,WA,8481.0,26
Jul 2017,ACT,1063598.0,2716
Jul 2017,NSW,835821.0,1940
Jul 2017,NT,3042.0,3
Jul 2017,QLD,78597.0,130
Jul 2017,SA,10105.0,26
Jul 2017,TAS,1788.0,7
Jul 2017,VIC,108134.0,193
Jul 2017,WA,4224.0,17
Jul 2018,ACT,1419489.0,3513
Jul 2018,NSW,1337262.0,2636
Jul 2018,NT,451.0,1
Jul 2018,QLD,91431.0,155
Jul 2018,SA,13390.0,36
Jul 2018,TAS,3838.0,10
Jul 2018,VIC,181467.0,314
Jul 2018,WA,9673.0,26
Jul 2019,ACT,1355080.0,3313
Jul 2019,NSW,1206551.0,2382
Jul 2019,NT,2278.0,4
Jul 2019,QLD,109229.0,130
Jul 2019,SA,9867.0,24
Jul 2019,TAS,1620.0,5
Jul 2019,VIC,119601.0,224
Jul 2019,WA,6843.0,17
Jul 2020,ACT,1406354.0,3321
Jul 2020,NSW,1074764.0,2093
Jul 2020,NT,1839.0,3
Jul 2020,QLD,58089.0,110
Jul 2020,SA,13959.0,21
Jul 2020,TAS,1329.0,4
Jul 2020,VIC,107560.0,160
Jul 2020,WA,8628.0,21
Jul 2021,ACT,8365719.0,20493
Jul 2021,NSW,2811035.0,5560
Jul 2021,NT,13784.0,36
Jul 2021,QLD,210982.0,465
Jul 2021,SA,33721.0,78
Jul 2021,TAS,15762.0,39
Jul 2021,VIC,331778.0,657
Jul 2021,WA,37830.0,115
Jul 2022,ACT,2392663.0,4980
Jul 2022,NSW,2735963.0,4989
Jul 2022,NT,1535.0,5
Jul 2022,QLD,169008.0,294
Jul 2022,SA,39903.0,72
Jul 2022,TAS,8423.0,21
Jul 2022,VIC,308613.0,541
Jul 2022,WA,20055.0,47
Jul 2023,ACT,1594571.0,3231
Jul 2023,NSW,1404365.0,2428
Jul 2023,NT,2288.0,4
Jul 2023,QLD,91150.0,149
Jul 2023,SA,25756.0,36
Jul 2023,TAS,4063.0,9
Jul 2023,VIC,170441.0,252
Jul 2023,WA,7258.0,13
Jul 2024,ACT,2918204.0,4588
Jul 2024,NSW,1676804.0,2348
Jul 2024,NT,1884.0,4
Jul 2024,QLD,105106.0,149
Jul 2024,SA,24246.0,34
Jul 2024,TAS,7898.0,9
Jul 2024,VIC,196506.0,266
Jul 2024,WA,11414.0,17
Jun 2011,ACT,489773.0,2590
Jun 2011,NSW,298864.0,1547
Jun 2011,NT,785.0,5
Jun 2011,QLD,23510.0,112
Jun 2011,SA,3903.0,23
Jun 2011,TAS,1372.0,8
Jun 2011,VIC,40382.0,200
Jun 2011,WA,3815.0,23
Jun 2012,ACT,512627.0,2625
Jun 2012,NSW,293602.0,1474
Jun 2012,NT,486.0,4
Jun 2012,QLD,22967.0,118
Jun 2012,SA,4150.0,20
Jun 2012,TAS,2035.0,12
Jun 2012,VIC,49000.0,232
Jun 2012,WA,3247.0,18
Jun 2013,ACT,487472.0,2454
Jun 2013,NSW,321289.0,1487
Jun 2013,NT,334.0,2
Jun 2013,QLD,23248.0,116
Jun 2013,SA,2025.0,11
Jun 2013,TAS,1627.0,9
Jun 2013,VIC,42004.0,204
Jun 2013,WA,4393.0,25
Jun 2014,ACT,535142.0,2283
Jun 2014,NSW,301093.0,1269
Jun 2014,NT,746.0,3
Jun 2014,QLD,16277.0,70
Jun 2014,SA,5395.0,15
Jun 2014,TAS,1015.0,5
Jun 2014,VIC,34641.0,148
Jun 2014,WA,2337.0,11
Jun 2015,ACT,704862.0,2735
Jun 2015,NSW,418026.0,1593
Jun 2015,NT,790.0,3
Jun 2015,QLD,24771.0,96
Jun 2015,SA,5920.0,25
Jun 2015,TAS,2480.0,10
Jun 2015,VIC,46485.0,189
Jun 2015,WA,4075.0,15
